Start,End,Type,Payer,Lambda,Price,Sd,myPrice,mySD
1,4,True,True,0.2,121.9,0.5,120.5,1.1
2,4,True,True,0.2,111.2,0.5,110.6,1.1
3,4,True,True,0.2,66.0,0.3,66.5,0.6
1,4,False,True,0.2,157.7,0.5,156.8,1.2
1,4,False,False,0.2,156.6,0.3,156.5,0.9
2,5,True,True,0.2,162.0,0.7,162.7,1.6
3,5,True,True,0.2,128.2,0.6,128.4,1.2
4,5,True,True,0.2,71.7,0.3,71.3,0.7
2,5,False,True,0.2,187.9,0.6,187.3,1.5
2,5,False,False,0.2,186.6,0.4,187.0,1.2
5,10,True,True,0.15,252.3,1.0,251.4,2.3
6,10,True,True,0.15,214.6,0.8,217.3,2.0
7,10,True,True,0.15,168.6,0.7,169.9,1.6
8,10,True,True,0.15,116.5,0.5,115.8,1.1
9,10,True,True,0.15,59.9,0.2,59.7,0.6
5,10,False,True,0.15,282.7,0.9,283.9,2.3
5,10,False,False,0.15,279.5,0.6,278.7,1.9
10,20,True,True,0.1,309.0,0.9,310.0,2.5
12,20,True,True,0.1,253.9,0.8,252.4,2.0
14,20,True,True,0.1,193.2,0.6,195.1,1.5
16,20,True,True,0.1,129.3,0.4,130.5,1.0
18,20,True,True,0.1,64.6,0.2,64.6,0.5
10,20,False,True,0.1,347.8,0.8,349.0,2.5
10,20,False,False,0.1,339.6,0.9,340.0,2.6
